,F99,F19,G23
sn2008bc,777.3447265548439,746.6509637919701,737.6769451018546
sn2005na,922.7997085318788,887.2941176916196,906.8561475544952
sn2009Y,727.229503574618,717.0682935964503,727.0176418885387
sn2007ux,488.9647901725399,485.0244421527924,485.4470490979445
sn2007as,476.6064647657682,495.86908004648905,478.70814732515566
sn2007hj,1699.1283169181115,1697.9101287262524,1693.1464028100513
sn2005ki,749.0907605248633,739.8061714072779,741.0730483481556
sn2007bc,366.2133881656214,367.0220281677352,388.8612253871828
sn2005iq,630.1063181669198,636.6693587138427,622.0006754504236
sn2008bq,1063.294277455528,1037.8510406292123,1009.4773013791194
