,F99,F19,G23
sn2006X,6.999441387669345,363.1241030003463,324.6387808452485
sn2007jd,6.146846377540111,6.174666455521152,6.249736411798298
sn2005kc,2.276460195555912,16.518065406694962,5.8588801757804685
sn2006ej,5.760015601692825,4.826398782821785,6.019980135892127
sn2005al,4.25701034551177,3.400133611519156,3.9470916556454334
sn2005am,7.423511558207465,7.464621254948817,7.410385418540625
sn2006hx,6.668788860576102,6.8922990631853045,6.968469525788618
sn2008cf,13.224979985018276,12.329790053195111,13.02568127317018
sn2009ag,4.553424116738329,46.19585930780749,12.701257341225448
sn2008fw,6.095605499151042,14.800152010201868,8.545389267008483
sn2007af,3.290934940781145,6.652776303502808,6.194466482744874
sn2006is,17.973859226194552,16.96919793374214,18.872585956849363
sn2004eo,11.77231790777734,15.960898429490708,17.733899801521005
sn2008bf,7.130110510922854,6.817652490337291,7.085354950408691
sn2008fr,10.95587562441228,9.914559638608406,10.305545796967762
sn2008gp,9.737146631100464,7.832214363917997,9.628665617499596
sn2009cz,4.536734511601715,5.870862457456732,6.029212111984866
sn2002cv,4.920824505338717,281.31924963455504,795.0343948880343
sn2007le,3.749571084738789,17.120791184891303,18.454014875889403
sn2009P,5.091657460229235,13.68455467608828,7.695889550979671
sn2009D,8.163425192668987,6.575409601716687,7.79483965556205
sn2008ia,6.101769339900615,6.375181924597635,5.5839253745833375
sn2008bc,5.758109085591436,12.10229052760964,8.769473147820678
sn2005na,10.253330094798654,8.893883580022024,10.801626218148147
sn2009Y,5.551370256294794,7.761052898738395,6.106643018027384
sn2007ux,4.327122036925132,9.720668463038752,13.05013348872616
sn2007as,5.673886485306765,7.12083238335588,5.984078383179456
sn2007hj,9.387449264740948,19.89479774065078,14.390690645908537
sn2005ki,5.945164766070343,5.474779480730062,5.77209059254575
sn2007bc,4.02432294687496,3.2044694940551297,3.92301984336217
sn2005iq,5.339884052262032,4.829751264236164,5.262080722444556
sn2008bq,11.192571341637137,9.198448030478295,10.60468614162514
